frame,time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
187,3.895833,-2.701572,-5.515620,-1.464414,-5.516107,-0.225568,-5.516616,1.300534,-5.519595,2.535753,-5.519452
188,3.916667,-2.530647,-5.519512,-1.293840,-5.519661,-0.055975,-5.519792,1.351414,-5.518895,2.584815,-5.518699
189,3.937500,-2.359876,-5.519519,-1.123452,-5.519348,0.113397,-5.519145,1.401946,-5.517858,2.633511,-5.517636
190,3.958333,-2.189660,-5.515665,-0.975209,-5.515934,0.253479,-5.515727,1.475126,-5.515755,2.708891,-5.515367
191,3.979167,-2.122840,-5.513098,-0.895842,-5.512903,0.396970,-5.509515,1.632614,-5.508807,2.864865,-5.508267
192,4.000000,-2.056778,-5.509975,-0.832156,-5.509863,0.554147,-5.499555,1.788841,-5.498642,3.019562,-5.498015
193,4.020833,-1.991598,-5.506322,-0.769349,-5.506336,0.709737,-5.486433,1.943458,-5.485358,3.172638,-5.484710
194,4.041667,-1.927422,-5.502170,-0.707538,-5.502349,0.863398,-5.470271,2.096127,-5.469079,3.323760,-5.468474
195,4.062500,-1.864369,-5.497554,-0.646838,-5.497936,1.014798,-5.451214,2.246518,-5.449949,3.472603,-5.449452
196,4.083333,-1.804654,-5.492691,-0.585261,-5.492954,1.163617,-5.429428,2.394315,-5.428136,3.618857,-5.427810
197,4.104167,-1.746391,-5.487483,-0.524916,-5.487577,1.309549,-5.405098,2.539215,-5.403824,3.762222,-5.403729
198,4.125000,-1.689573,-5.481965,-0.466021,-5.481856,1.452301,-5.378429,2.680931,-5.377216,3.902414,-5.377413
199,4.145833,-1.634301,-5.476178,-0.408682,-5.475837,1.591598,-5.349640,2.819187,-5.348532,4.039165,-5.349075
200,4.166667,-1.580675,-5.470169,-0.353002,-5.469566,1.727181,-5.318965,2.953729,-5.318003,4.172220,-5.318945
201,4.187500,-1.528787,-5.463982,-0.299078,-5.463091,1.858805,-5.286648,3.083926,-5.285974,4.301735,-5.287165
202,4.208333,-1.478727,-5.457667,-0.247003,-5.456464,1.986247,-5.252946,3.209046,-5.252858,4.428000,-5.253822
203,4.229167,-1.430580,-5.451271,-0.196866,-5.449733,2.109299,-5.218120,3.329801,-5.218697,4.549894,-5.219393
204,4.250000,-1.384429,-5.444843,-0.148752,-5.442951,2.227771,-5.182440,3.446006,-5.183754,4.667229,-5.184142
205,4.270833,-1.340349,-5.438430,-0.102742,-5.436168,2.340240,-5.146585,3.558744,-5.147885,4.779836,-5.148338
206,4.291667,-1.298413,-5.432082,-0.058911,-5.429436,2.447151,-5.110686,3.667265,-5.111499,4.887561,-5.112249
207,4.312500,-1.258690,-5.425845,-0.017330,-5.422804,2.549044,-5.074799,3.770752,-5.075076,4.990267,-5.076143
208,4.333333,-1.221242,-5.419766,0.021934,-5.416322,2.645799,-5.039187,3.869084,-5.038883,5.087831,-5.040285
209,4.354167,-1.186129,-5.413889,0.058820,-5.410039,2.737312,-5.004108,3.962153,-5.003184,5.180149,-5.004935
210,4.375000,-1.153404,-5.408259,0.093270,-5.403999,2.823491,-4.969813,4.049716,-4.968294,5.267276,-4.970288
211,4.395833,-1.123119,-5.402915,0.125232,-5.398248,2.904260,-4.936546,4.131402,-4.934591,5.349426,-4.936458
212,4.416667,-1.095316,-5.397897,0.154659,-5.392827,2.979551,-4.904540,4.207594,-4.902136,5.426084,-4.903860
